module,doctype,fieldname,label,fieldtype,pg_type,options,reqd,unique,index,read_only,default,fetch_from
Accounts,Bank Statement Import,reference_doctype,Document Type,Link,varchar(140),DocType,1,0,0,0,Bank Transaction,
Accounts,Bank Statement Import,import_type,Import Type,Select,varchar(140),Insert New Records|Update Existing Records,1,0,0,0,Insert New Records,
Accounts,Bank Statement Import,submit_after_import,Submit After Import,Check,smallint,,0,0,0,0,1,
Accounts,Bank Statement Import,mute_emails,Don't Send Emails,Check,smallint,,0,0,0,0,1,
Accounts,Bank Statement Import,custom_delimiters,Custom delimiters,Check,smallint,,0,0,0,0,0,
Accounts,Bank Statement Import,delimiter_options,Delimiter options,Data,varchar(140),,0,0,0,0,",;\t|",
Accounts,Bank Statement Import,use_csv_sniffer,Use CSV Sniffer,Check,smallint,,0,0,0,0,0,
Accounts,Bank Statement Import,import_mt940_fromat,Import MT940 Format,Check,smallint,,0,0,0,0,0,
Accounts,Bank Statement Import Log,bank_account,Bank Account,Link,varchar(140),Bank Account,1,0,0,0,,
Accounts,Bank Statement Import Log,number_of_transactions,Number of Transactions,Int,integer,,0,0,0,1,,
Accounts,Bank Statement Import Log,closing_balance,Closing Balance,Currency,"numeric(21,9)",currency,0,0,0,0,,
Accounts,Bank Statement Import Log,start_date,Start Date,Date,date,,0,0,0,1,,
